Guide1,Guide2,Library read counts,Rep1,Rep2,Gene1,Gene2
AHR-KO-3,CCT4-KO-3,131,1,0,AHR,CCT4
AHR-KO-3,CCT4-KO-4,185,74,112,AHR,CCT4
AHR-KO-3,DIMT1-KO-1,137,355,174,AHR,DIMT1
AHR-KO-3,DIMT1-KO-2,139,1321,601,AHR,DIMT1
AHR-KO-3,DIMT1-KO-3,156,97,145,AHR,DIMT1
AHR-KO-3,DIMT1-KO-4,346,63,37,AHR,DIMT1
AHR-KO-3,EFTUD2-KO-1,153,0,11,AHR,EFTUD2
AHR-KO-3,EFTUD2-KO-2,167,218,211,AHR,EFTUD2
AHR-KO-3,EFTUD2-KO-3,151,12,58,AHR,EFTUD2
AHR-KO-3,EFTUD2-KO-4,117,5,2,AHR,EFTUD2
AHR-KO-3,EIF3B-KO-1,153,263,99,AHR,EIF3B
AHR-KO-3,EIF3B-KO-2,208,32,48,AHR,EIF3B
AHR-KO-3,EIF3B-KO-3,131,7,15,AHR,EIF3B
AHR-KO-3,EIF3B-KO-4,126,49,223,AHR,EIF3B
AHR-KO-3,FRYL-KO-1,117,1072,916,AHR,FRYL
AHR-KO-3,FRYL-KO-2,127,1024,533,AHR,FRYL
AHR-KO-3,FRYL-KO-3,158,874,985,AHR,FRYL
AHR-KO-3,FRYL-KO-4,131,300,266,AHR,FRYL
AHR-KO-3,IARS-KO-1,92,30,5,AHR,IARS
AHR-KO-3,IARS-KO-2,88,9,34,AHR,IARS
AHR-KO-3,IARS-KO-3,85,58,110,AHR,IARS
AHR-KO-3,IARS-KO-4,112,33,4,AHR,IARS
AHR-KO-3,KEAP1-KO-1,138,906,510,AHR,KEAP1
AHR-KO-3,KEAP1-KO-2,118,771,309,AHR,KEAP1
AHR-KO-3,KEAP1-KO-3,218,1056,1128,AHR,KEAP1
AHR-KO-3,KEAP1-KO-4,133,755,723,AHR,KEAP1
AHR-KO-3,KIRREL-KO-1,146,1264,1156,AHR,KIRREL
AHR-KO-3,KIRREL-KO-2,79,379,489,AHR,KIRREL
AHR-KO-3,KIRREL-KO-3,351,1278,1533,AHR,KIRREL
AHR-KO-3,KIRREL-KO-4,193,1129,920,AHR,KIRREL
AHR-KO-3,NARS-KO-1,177,57,19,AHR,NARS
AHR-KO-3,NARS-KO-2,68,22,36,AHR,NARS
AHR-KO-3,NARS-KO-3,220,4,11,AHR,NARS
AHR-KO-3,NARS-KO-4,79,6,0,AHR,NARS
AHR-KO-3,NCL-KO-1,109,1,12,AHR,NCL
AHR-KO-3,NCL-KO-2,128,9,135,AHR,NCL
AHR-KO-3,NCL-KO-3,104,49,3,AHR,NCL
AHR-KO-3,NCL-KO-4,86,209,65,AHR,NCL
AHR-KO-3,NF2-KO-1,76,1716,2134,AHR,NF2
AHR-KO-3,NF2-KO-2,126,1390,1143,AHR,NF2
AHR-KO-3,NF2-KO-3,152,365,734,AHR,NF2
AHR-KO-3,NF2-KO-4,151,1259,1165,AHR,NF2
AHR-KO-3,NHT-KO-20,39,246,272,AHR,NHT
AHR-KO-3,NHT-KO-25,162,1866,1140,AHR,NHT
AHR-KO-3,NHT-KO-8,56,476,298,AHR,NHT
AHR-KO-3,NHT-KO-9,235,1571,1555,AHR,NHT
AHR-KO-3,NHT-KO-26,112,302,367,AHR,NHT
AHR-KO-3,NHT-KO-41,221,710,1370,AHR,NHT
AHR-KO-3,NHT-KO-44,248,1051,1211,AHR,NHT
AHR-KO-3,NHT-KO-149,222,1276,1220,AHR,NHT
AHR-KO-3,NHT-KO-5,99,404,562,AHR,NHT
AHR-KO-3,NHT-KO-148,199,730,1130,AHR,NHT
AHR-KO-3,NHT-KO-16,162,1334,962,AHR,NHT
AHR-KO-3,NHT-KO-156,87,450,466,AHR,NHT
AHR-KO-3,NHT-KO-4,100,400,695,AHR,NHT
AHR-KO-3,NHT-KO-128,157,798,1060,AHR,NHT
AHR-KO-3,NHT-KO-19,133,818,581,AHR,NHT
AHR-KO-3,NHT-KO-152,152,1752,1149,AHR,NHT
AHR-KO-3,NHT-KO-137,126,94,446,AHR,NHT
AHR-KO-3,NHT-KO-38,191,1332,1082,AHR,NHT
AHR-KO-3,NHT-KO-1,135,827,529,AHR,NHT
AHR-KO-3,NHT-KO-12,92,473,384,AHR,NHT
